code,datetime,e,n,value
tmp-01,9/20/2025 0:00,106.468056,10.505556,-21
tmp-01,9/20/2025 1:00,106.468056,10.505556,-92
tmp-01,9/20/2025 2:00,106.468056,10.505556,-18
tmp-01,9/20/2025 3:00,106.468056,10.505556,-34
tmp-01,9/20/2025 4:00,106.468056,10.505556,34
tmp-01,9/20/2025 5:00,106.468056,10.505556,74
tmp-01,9/20/2025 6:00,106.468056,10.505556,96
tmp-01,9/20/2025 7:00,106.468056,10.505556,-37
tmp-01,9/20/2025 8:00,106.468056,10.505556,-89
tmp-01,9/20/2025 9:00,106.468056,10.505556,34
tmp-01,9/20/2025 10:00,106.468056,10.505556,-34
tmp-01,9/20/2025 11:00,106.468056,10.505556,-6
tmp-01,9/20/2025 12:00,106.468056,10.505556,-53
tmp-01,9/20/2025 13:00,106.468056,10.505556,68
tmp-01,9/20/2025 14:00,106.468056,10.505556,-17
tmp-01,9/20/2025 15:00,106.468056,10.505556,-8
tmp-01,9/20/2025 16:00,106.468056,10.505556,-25
tmp-01,9/20/2025 17:00,106.468056,10.505556,94
tmp-01,9/20/2025 18:00,106.468056,10.505556,43
tmp-01,9/20/2025 19:00,106.468056,10.505556,-4
tmp-01,9/20/2025 20:00,106.468056,10.505556,-94
tmp-01,9/20/2025 21:00,106.468056,10.505556,97
tmp-01,9/20/2025 22:00,106.468056,10.505556,74
tmp-01,9/20/2025 23:00,106.468056,10.505556,10
tmp-01,9/21/2025 0:00,106.468056,10.505556,38
tmp-01,9/21/2025 1:00,106.468056,10.505556,12
tmp-01,9/21/2025 2:00,106.468056,10.505556,-66
tmp-01,9/21/2025 3:00,106.468056,10.505556,-77
tmp-01,9/21/2025 4:00,106.468056,10.505556,9
tmp-01,9/21/2025 5:00,106.468056,10.505556,6
tmp-01,9/21/2025 6:00,106.468056,10.505556,-6
tmp-01,9/21/2025 7:00,106.468056,10.505556,-53
tmp-01,9/21/2025 8:00,106.468056,10.505556,-40
tmp-01,9/21/2025 9:00,106.468056,10.505556,21
tmp-01,9/21/2025 10:00,106.468056,10.505556,-66
tmp-01,9/21/2025 11:00,106.468056,10.505556,69
tmp-01,9/21/2025 12:00,106.468056,10.505556,87
tmp-01,9/21/2025 13:00,106.468056,10.505556,-93
tmp-01,9/21/2025 14:00,106.468056,10.505556,63
tmp-01,9/21/2025 15:00,106.468056,10.505556,5
tmp-01,9/21/2025 16:00,106.468056,10.505556,-53
tmp-01,9/21/2025 17:00,106.468056,10.505556,-56
tmp-01,9/21/2025 18:00,106.468056,10.505556,-71
tmp-01,9/21/2025 19:00,106.468056,10.505556,98
tmp-01,9/21/2025 20:00,106.468056,10.505556,-95
tmp-01,9/21/2025 21:00,106.468056,10.505556,29
tmp-01,9/21/2025 22:00,106.468056,10.505556,53
tmp-01,9/21/2025 23:00,106.468056,10.505556,-20
tmp-01,9/22/2025 0:00,106.468056,10.505556,-66
tmp-01,9/22/2025 1:00,106.468056,10.505556,-89
tmp-01,9/22/2025 2:00,106.468056,10.505556,-1
tmp-01,9/22/2025 3:00,106.468056,10.505556,47
tmp-01,9/22/2025 4:00,106.468056,10.505556,-10
tmp-01,9/22/2025 5:00,106.468056,10.505556,-62
tmp-01,9/22/2025 6:00,106.468056,10.505556,81
tmp-01,9/22/2025 7:00,106.468056,10.505556,81
tmp-01,9/22/2025 8:00,106.468056,10.505556,66
tmp-01,9/22/2025 9:00,106.468056,10.505556,17
tmp-01,9/22/2025 10:00,106.468056,10.505556,93
tmp-01,9/22/2025 11:00,106.468056,10.505556,5
tmp-01,9/22/2025 12:00,106.468056,10.505556,99
tmp-01,9/22/2025 13:00,106.468056,10.505556,-23
tmp-01,9/22/2025 14:00,106.468056,10.505556,60
tmp-01,9/22/2025 15:00,106.468056,10.505556,13
tmp-01,9/22/2025 16:00,106.468056,10.505556,-71
tmp-01,9/22/2025 17:00,106.468056,10.505556,-16
tmp-01,9/22/2025 18:00,106.468056,10.505556,-94
tmp-01,9/22/2025 19:00,106.468056,10.505556,-70
tmp-01,9/22/2025 20:00,106.468056,10.505556,100
tmp-01,9/22/2025 21:00,106.468056,10.505556,-75
tmp-01,9/22/2025 22:00,106.468056,10.505556,-53
tmp-01,9/22/2025 23:00,106.468056,10.505556,-100
tmp-01,9/23/2025 0:00,106.468056,10.505556,76
tmp-01,9/23/2025 1:00,106.468056,10.505556,81
tmp-01,9/23/2025 2:00,106.468056,10.505556,13
tmp-01,9/23/2025 3:00,106.468056,10.505556,48
tmp-01,9/23/2025 4:00,106.468056,10.505556,64
tmp-01,9/23/2025 5:00,106.468056,10.505556,55
tmp-01,9/23/2025 6:00,106.468056,10.505556,-36
tmp-01,9/23/2025 7:00,106.468056,10.505556,100
tmp-01,9/23/2025 8:00,106.468056,10.505556,71
tmp-01,9/23/2025 9:00,106.468056,10.505556,27
tmp-01,9/23/2025 10:00,106.468056,10.505556,95
tmp-01,9/23/2025 11:00,106.468056,10.505556,-25
tmp-01,9/23/2025 12:00,106.468056,10.505556,38
tmp-01,9/23/2025 13:00,106.468056,10.505556,-36
tmp-01,9/23/2025 14:00,106.468056,10.505556,87
tmp-01,9/23/2025 15:00,106.468056,10.505556,67
tmp-01,9/23/2025 16:00,106.468056,10.505556,-63
tmp-01,9/23/2025 17:00,106.468056,10.505556,36
tmp-01,9/23/2025 18:00,106.468056,10.505556,-78
tmp-01,9/23/2025 19:00,106.468056,10.505556,-5
tmp-01,9/23/2025 20:00,106.468056,10.505556,-20
tmp-01,9/23/2025 21:00,106.468056,10.505556,34
tmp-01,9/23/2025 22:00,106.468056,10.505556,-93
tmp-01,9/23/2025 23:00,106.468056,10.505556,-28
tmp-01,9/24/2025 0:00,106.468056,10.505556,13
tmp-01,9/24/2025 1:00,106.468056,10.505556,-83
tmp-01,9/24/2025 2:00,106.468056,10.505556,2
tmp-01,9/24/2025 3:00,106.468056,10.505556,60
tmp-01,9/24/2025 4:00,106.468056,10.505556,-96
tmp-01,9/24/2025 5:00,106.468056,10.505556,63
tmp-01,9/24/2025 6:00,106.468056,10.505556,-70
tmp-01,9/24/2025 7:00,106.468056,10.505556,26
tmp-01,9/24/2025 8:00,106.468056,10.505556,-32
tmp-01,9/24/2025 9:00,106.468056,10.505556,-81
tmp-01,9/24/2025 10:00,106.468056,10.505556,19
tmp-01,9/24/2025 11:00,106.468056,10.505556,8
tmp-01,9/24/2025 12:00,106.468056,10.505556,16
tmp-01,9/24/2025 13:00,106.468056,10.505556,1
tmp-01,9/24/2025 14:00,106.468056,10.505556,-42
tmp-01,9/24/2025 15:00,106.468056,10.505556,78
tmp-01,9/24/2025 16:00,106.468056,10.505556,-30
tmp-01,9/24/2025 17:00,106.468056,10.505556,-4
tmp-01,9/24/2025 18:00,106.468056,10.505556,15
tmp-01,9/24/2025 19:00,106.468056,10.505556,-29
tmp-01,9/24/2025 20:00,106.468056,10.505556,76
tmp-01,9/24/2025 21:00,106.468056,10.505556,-93
tmp-01,9/24/2025 22:00,106.468056,10.505556,-67
tmp-01,9/24/2025 23:00,106.468056,10.505556,6
tmp-01,9/25/2025 0:00,106.468056,10.505556,-35
tmp-01,9/25/2025 1:00,106.468056,10.505556,-23
tmp-01,9/25/2025 2:00,106.468056,10.505556,32
tmp-01,9/25/2025 3:00,106.468056,10.505556,-24
tmp-01,9/25/2025 4:00,106.468056,10.505556,51
tmp-01,9/25/2025 5:00,106.468056,10.505556,-65
tmp-01,9/25/2025 6:00,106.468056,10.505556,76
tmp-01,9/25/2025 7:00,106.468056,10.505556,-52
tmp-01,9/25/2025 8:00,106.468056,10.505556,-47
tmp-01,9/25/2025 9:00,106.468056,10.505556,54
tmp-01,9/25/2025 10:00,106.468056,10.505556,-41
tmp-01,9/25/2025 11:00,106.468056,10.505556,68
tmp-01,9/25/2025 12:00,106.468056,10.505556,21
tmp-01,9/25/2025 13:00,106.468056,10.505556,-96
tmp-01,9/25/2025 14:00,106.468056,10.505556,-85
tmp-01,9/25/2025 15:00,106.468056,10.505556,69
tmp-01,9/25/2025 16:00,106.468056,10.505556,89
tmp-01,9/25/2025 17:00,106.468056,10.505556,43
tmp-01,9/25/2025 18:00,106.468056,10.505556,-17
tmp-01,9/25/2025 19:00,106.468056,10.505556,67
tmp-01,9/25/2025 20:00,106.468056,10.505556,93
tmp-01,9/25/2025 21:00,106.468056,10.505556,99
tmp-01,9/25/2025 22:00,106.468056,10.505556,0
tmp-01,9/25/2025 23:00,106.468056,10.505556,64
tmp-01,9/26/2025 0:00,106.468056,10.505556,82
tmp-01,9/26/2025 1:00,106.468056,10.505556,-77
tmp-01,9/26/2025 2:00,106.468056,10.505556,36
tmp-01,9/26/2025 3:00,106.468056,10.505556,90
tmp-01,9/26/2025 4:00,106.468056,10.505556,-44
tmp-01,9/26/2025 5:00,106.468056,10.505556,-14
tmp-01,9/26/2025 6:00,106.468056,10.505556,88
tmp-01,9/26/2025 7:00,106.468056,10.505556,-52
tmp-01,9/26/2025 8:00,106.468056,10.505556,59
tmp-01,9/26/2025 9:00,106.468056,10.505556,-96
tmp-01,9/26/2025 10:00,106.468056,10.505556,52
tmp-01,9/26/2025 11:00,106.468056,10.505556,-5
tmp-01,9/26/2025 12:00,106.468056,10.505556,-5
tmp-01,9/26/2025 13:00,106.468056,10.505556,60
tmp-01,9/26/2025 14:00,106.468056,10.505556,65
tmp-01,9/26/2025 15:00,106.468056,10.505556,-7
tmp-01,9/26/2025 16:00,106.468056,10.505556,87
tmp-01,9/26/2025 17:00,106.468056,10.505556,26
tmp-01,9/26/2025 18:00,106.468056,10.505556,-63
tmp-01,9/26/2025 19:00,106.468056,10.505556,89
tmp-01,9/26/2025 20:00,106.468056,10.505556,61
tmp-01,9/26/2025 21:00,106.468056,10.505556,70
tmp-01,9/26/2025 22:00,106.468056,10.505556,82
tmp-01,9/26/2025 23:00,106.468056,10.505556,-67
tmp-01,9/27/2025 0:00,106.468056,10.505556,100
tmp-01,9/27/2025 1:00,106.468056,10.505556,-28
tmp-01,9/27/2025 2:00,106.468056,10.505556,-27
tmp-01,9/27/2025 3:00,106.468056,10.505556,-91
tmp-01,9/27/2025 4:00,106.468056,10.505556,-92
tmp-01,9/27/2025 5:00,106.468056,10.505556,81
tmp-01,9/27/2025 6:00,106.468056,10.505556,2
tmp-01,9/27/2025 7:00,106.468056,10.505556,-34
tmp-01,9/27/2025 8:00,106.468056,10.505556,85
tmp-01,9/27/2025 9:00,106.468056,10.505556,-7
tmp-01,9/27/2025 10:00,106.468056,10.505556,61
tmp-01,9/27/2025 11:00,106.468056,10.505556,5
tmp-01,9/27/2025 12:00,106.468056,10.505556,100
tmp-01,9/27/2025 13:00,106.468056,10.505556,-76
tmp-01,9/27/2025 14:00,106.468056,10.505556,53
tmp-01,9/27/2025 15:00,106.468056,10.505556,50
tmp-01,9/27/2025 16:00,106.468056,10.505556,63
tmp-01,9/27/2025 17:00,106.468056,10.505556,-47
tmp-01,9/27/2025 18:00,106.468056,10.505556,-57
tmp-01,9/27/2025 19:00,106.468056,10.505556,-48
tmp-01,9/27/2025 20:00,106.468056,10.505556,87
tmp-01,9/27/2025 21:00,106.468056,10.505556,-64
tmp-01,9/27/2025 22:00,106.468056,10.505556,-56
tmp-01,9/27/2025 23:00,106.468056,10.505556,-19
tmp-01,9/28/2025 0:00,106.468056,10.505556,93
tmp-01,9/28/2025 1:00,106.468056,10.505556,38
tmp-01,9/28/2025 2:00,106.468056,10.505556,24
tmp-01,9/28/2025 3:00,106.468056,10.505556,61
tmp-01,9/28/2025 4:00,106.468056,10.505556,-50
tmp-01,9/28/2025 5:00,106.468056,10.505556,-54
tmp-01,9/28/2025 6:00,106.468056,10.505556,-14
tmp-01,9/28/2025 7:00,106.468056,10.505556,-67
tmp-01,9/28/2025 8:00,106.468056,10.505556,-46
tmp-01,9/28/2025 9:00,106.468056,10.505556,-72
tmp-01,9/28/2025 10:00,106.468056,10.505556,-11
tmp-01,9/28/2025 11:00,106.468056,10.505556,43
tmp-01,9/28/2025 12:00,106.468056,10.505556,-16
tmp-01,9/28/2025 13:00,106.468056,10.505556,-39
tmp-01,9/28/2025 14:00,106.468056,10.505556,-30
tmp-01,9/28/2025 15:00,106.468056,10.505556,43
tmp-01,9/28/2025 16:00,106.468056,10.505556,92
tmp-01,9/28/2025 17:00,106.468056,10.505556,23
tmp-01,9/28/2025 18:00,106.468056,10.505556,69
tmp-01,9/28/2025 19:00,106.468056,10.505556,-29
tmp-01,9/28/2025 20:00,106.468056,10.505556,93
tmp-01,9/28/2025 21:00,106.468056,10.505556,-23
tmp-01,9/28/2025 22:00,106.468056,10.505556,-94
tmp-01,9/28/2025 23:00,106.468056,10.505556,-60
tmp-01,9/29/2025 0:00,106.468056,10.505556,79
tmp-01,9/29/2025 1:00,106.468056,10.505556,-45
tmp-01,9/29/2025 2:00,106.468056,10.505556,-87
tmp-01,9/29/2025 3:00,106.468056,10.505556,42
tmp-01,9/29/2025 4:00,106.468056,10.505556,6
tmp-01,9/29/2025 5:00,106.468056,10.505556,48
tmp-01,9/29/2025 6:00,106.468056,10.505556,-65
tmp-01,9/29/2025 7:00,106.468056,10.505556,17
tmp-01,9/29/2025 8:00,106.468056,10.505556,79
tmp-01,9/29/2025 9:00,106.468056,10.505556,-54
tmp-01,9/29/2025 10:00,106.468056,10.505556,10
tmp-01,9/29/2025 11:00,106.468056,10.505556,34
tmp-01,9/29/2025 12:00,106.468056,10.505556,13
tmp-01,9/29/2025 13:00,106.468056,10.505556,8
tmp-01,9/29/2025 14:00,106.468056,10.505556,36
tmp-01,9/29/2025 15:00,106.468056,10.505556,95
tmp-01,9/29/2025 16:00,106.468056,10.505556,67
tmp-01,9/29/2025 17:00,106.468056,10.505556,72
tmp-01,9/29/2025 18:00,106.468056,10.505556,-68
tmp-01,9/29/2025 19:00,106.468056,10.505556,73
tmp-01,9/29/2025 20:00,106.468056,10.505556,45
tmp-01,9/29/2025 21:00,106.468056,10.505556,87
tmp-01,9/29/2025 22:00,106.468056,10.505556,69
tmp-01,9/29/2025 23:00,106.468056,10.505556,-19
tmp-01,9/30/2025 0:00,106.468056,10.505556,98
tmp-01,9/30/2025 1:00,106.468056,10.505556,-51
tmp-01,9/30/2025 2:00,106.468056,10.505556,-41
tmp-01,9/30/2025 3:00,106.468056,10.505556,-55
tmp-01,9/30/2025 4:00,106.468056,10.505556,20
tmp-01,9/30/2025 5:00,106.468056,10.505556,-27
